r,f(r),b(r),bp(r),H(r),Hp(r),w(r)
4.2664,0.8619,0.8621,0.0632,0.9999,0.00012737,0.0023293
4.4107,0.8707,0.8708,0.0574,0.9999,9.9313e-05,0.0020417
4.5551,0.8786,0.8787,0.0523,0.9999,7.8004e-05,0.001797
4.7119,0.8864,0.8865,0.0474,1.0,6.0472e-05,0.0015712
4.8687,0.8935,0.8936,0.0431,1.0,4.7228e-05,0.0013797
5.0406,0.9006,0.9006,0.039,1.0,3.6298e-05,0.0012019
5.2126,0.907,0.907,0.0353,1.0,2.811e-05,0.0010518
5.4027,0.9133,0.9134,0.0318,1.0,2.1358e-05,0.00091192
5.5929,0.9191,0.9191,0.0287,1.0,1.6354e-05,0.00079451
5.8051,0.9249,0.9249,0.0257,1.0,1.2244e-05,0.00068494
6.0172,0.93,0.9301,0.0231,1.0,9.2397e-06,0.0005936
6.2559,0.9352,0.9353,0.0206,1.0,6.7892e-06,0.00050828
6.4945,0.9399,0.9399,0.0184,1.0,5.0285e-06,0.00043774
6.7653,0.9446,0.9446,0.0163,1.0,3.607e-06,0.00037189
7.036,0.9488,0.9488,0.0145,1.0,2.607e-06,0.00031795
7.3459,0.953,0.953,0.0128,1.0,1.8112e-06,0.00026767
7.6557,0.9567,0.9567,0.0113,1.0,1.2659e-06,0.00022694
8.0138,0.9605,0.9605,0.009843,1.0,8.4064e-07,0.00018905
8.3719,0.9638,0.9638,0.0086372,1.0,5.589e-07,0.00015875
8.79,0.9671,0.9671,0.0074656,1.0,3.4537e-07,0.00013065
9.2081,0.9701,0.9701,0.0064962,1.0,2.1029e-07,0.0001085
9.702,0.973,0.973,0.0055555,1.0,1.1229e-07,8.8044e-05
10.1959,0.9756,0.9756,0.0047878,1.0,5.4447e-08,7.219e-05
10.787,0.9782,0.9782,0.004044,1.0,1.5608e-08,5.7625e-05
11.3781,0.9804,0.9804,0.0034465,1.0,-4.5534e-09,4.6554e-05
12.0943,0.9826,0.9826,0.0028702,1.0,-1.5746e-08,3.647e-05
12.8105,0.9845,0.9845,0.0024155,1.0,-1.9572e-08,2.8974e-05
13.65,0.9864,0.9864,0.0019968,1.0,-1.9765e-08,2.2478e-05
14.4896,0.9879,0.9879,0.0016696,1.0,-1.8061e-08,1.7704e-05
15.4476,0.9894,0.9894,0.0013779,1.0,-1.5447e-08,1.3705e-05
16.4055,0.9906,0.9906,0.0011504,1.0,-1.2866e-08,1.0773e-05
17.4987,0.9917,0.9917,0.00094803,1.0,-1.03e-08,8.3233e-06
18.5918,0.9927,0.9927,0.00079046,1.0,-8.2076e-09,6.5318e-06
19.8394,0.9935,0.9935,0.00065053,1.0,-6.3415e-09,5.0374e-06
21.0871,0.9943,0.9943,0.00054177,1.0,-4.9247e-09,3.947e-06
22.5113,0.995,0.995,0.00044532,1.0,-3.7222e-09,3.039e-06
23.9355,0.9956,0.9956,0.00037047,1.0,-2.8428e-09,2.3777e-06
25.5618,0.9961,0.9961,0.00030416,1.0,-2.1171e-09,1.828e-06
27.188,0.9966,0.9966,0.00025278,1.0,-1.5983e-09,1.4283e-06
29.0456,0.997,0.997,0.00020732,1.0,-1.178e-09,1.0965e-06
30.9031,0.9973,0.9973,0.00017214,1.0,-8.8202e-10,8.557e-07
33.0256,0.9977,0.9977,0.00014104,1.0,-6.452e-10,6.5604e-07
35.148,0.9979,0.9979,0.000117,1.0,-4.8032e-10,5.1136e-07
37.574,0.9982,0.9982,9.5769e-05,1.0,-3.4957e-10,3.9155e-07
